Course Name,Lessons,Price,Link
Frameworks for Effective Problem Solving,18 Lessons,Free,https://courses.analyticsvidhya.com/courses/frameworks-for-effective-problem-solving
Anyone can Build AI Agents - Free Course,5 Lessons,Free,https://courses.analyticsvidhya.com/courses/your-ultimate-guide-to-becoming-an-agentic-ai-expert-by-2025
A Comprehensive Learning Path to Become a Data Analyst in 2025,298 Lessons,Free,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-analyst-in-2025
Reimagining GenAI: Common Mistakes and Best Practices for Success,6 Lessons,Free,https://courses.analyticsvidhya.com/courses/reimagining-genai-common-mistakes-and-best-practices-for-success
Coding a ChatGPT-style Language Model from Scratch in PyTorch,7 Lessons,Free,https://courses.analyticsvidhya.com/courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch
Mastering Multilingual GenAI Open-Weights for Indic Languages,9 Lessons,Free,https://courses.analyticsvidhya.com/courses/mastering-multilingual-genai-open-weights-for-indic-languages
Learning Autonomous Driving Behaviors with LLMs & RL,6 Lessons,Free,https://courses.analyticsvidhya.com/courses/learning-autonomous-driving-behaviors-with-llms-and-rl
GenAI Applied to Quantitative Finance: For Control Implementation,5 Lessons,Free,https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",6 Lessons,Free,https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy
Creating Problem-Solving Agents using GenAI for Action Composition,6 Lessons,Free,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition
Improving Real World RAG Systems: Key Challenges & Practical Solutions,12 Lessons,Free,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges
Framework to Choose the Right LLM for your Business,6 Lessons,Free,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business
Building Smarter LLMs with Mamba and State Space Model,14 Lessons,Free,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model
Generative AI - A Way of Life - Free Course,31 Lessons,Free,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life
Building LLM Applications using Prompt Engineering - Free Course,18 Lessons,Free,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free
Building Your First Computer Vision Model - Free Course,7 Lessons,Free,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model
Bagging and Boosting ML Algorithms - Free Course,16 Lessons,Free,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms
MidJourney: From Inspiration to Implementation - Free Course,5 Lessons,Free,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation
Understanding Linear Regression - Free Course,10 Lessons,Free,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression
The Working of Neural Networks - Free Course,11 Lessons,Free,https://courses.analyticsvidhya.com/courses/the-working-of-neural-networks
The A to Z of Unsupervised ML - Free Course,13 Lessons,Free,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide
Building Your first RAG System using LlamaIndex - Free Course,12 Lessons,Free,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex
Data Preprocessing on a Real-World Problem Statement - Free Course,13 Lessons,Free,https://courses.analyticsvidhya.com/courses/data-preprocessing
Exploring Stability.AI - Free Course,7 Lessons,Free,https://courses.analyticsvidhya.com/courses/exploring-stability-ai
Building a Text Classification Model with Natural Language Processing - Free Course,16 Lessons,Free,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing
Getting Started with Large Language Models,18 Lessons,Free,https://courses.analyticsvidhya.com/courses/getting-started-with-llms
Introduction to Generative  AI,9 Lessons,Free,https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai
Exploring Natural Language Processing (NLP) using Deep Learning,79 Lessons,Free,https://courses.analyticsvidhya.com/courses/exploring-natural-language-processing-nlp-using-deep-learning
Getting Started with Deep Learning,299 Lessons,Free,https://courses.analyticsvidhya.com/courses/getting-started-with-deep-learning
Nano Course: Dreambooth-Stable Diffusion for Custom Images,13 Lessons,Free,https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images
A Comprehensive Learning Path for Deep Learning in 2023,72 Lessons,Free,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-for-deep-learning-in-2023
A Comprehensive Learning Path to Become a Data Scientist in 2024,389 Lessons,Free,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four
Nano Course: Building Large Language Models for Code,10 Lessons,Free,https://courses.analyticsvidhya.com/courses/building-large-language-models-for-code
Nano Course: Cutting Edge LLM Tricks,12 Lessons,Free,https://courses.analyticsvidhya.com/courses/cutting-edge-llm-tricks
Certified AI & ML BlackBelt+ Program,N/A,"$1,699.00",https://courses.analyticsvidhya.com/bundles/certified-ai-ml-blackbelt-plus
Machine Learning Summer Training,263 Lessons,Free,https://courses.analyticsvidhya.com/courses/machine-learning-summer-training
AI Ethics by Fractal,5 Lessons,$20.00,https://courses.analyticsvidhya.com/courses/ai-ethics-fractal
A Comprehensive Learning Path to Become a Data Engineer in 2022,204 Lessons,Free,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-engineer-in-2022
Certified Business Analytics Program,N/A,$280.00,https://courses.analyticsvidhya.com/bundles/certified-business-analytics-program
Certified Machine Learning Master's Program (MLMP),N/A,$330.00,https://courses.analyticsvidhya.com/bundles/certified-machine-learning-master-s-program-mlmp
Certified Natural Language Processing Master’s Program,N/A,$250.00,https://courses.analyticsvidhya.com/bundles/certified-natural-language-processing-master-s-program
Certified Computer Vision Master's Program,N/A,$230.00,https://courses.analyticsvidhya.com/bundles/certified-computer-vision-masters-program
Applied Machine Learning - Beginner to Professional,612 Lessons,$250.00,https://courses.analyticsvidhya.com/courses/applied-machine-learning-beginner-to-professional
Ace Data Science Interviews,59 Lessons,$60.00,https://courses.analyticsvidhya.com/courses/ace-data-science-interviews
Writing Powerful Data Science Articles,6 Lessons,Free,https://courses.analyticsvidhya.com/courses/writing-powerful-data-science-articles
Machine Learning Certification Course for Beginners,261 Lessons,Free,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners
Data Science Career Conclave,6 Lessons,Free,https://courses.analyticsvidhya.com/courses/data-science-career-conclave
Top Data Science Projects for Analysts and Data Scientists,36 Lessons,Free,https://courses.analyticsvidhya.com/courses/top-data-science-projects-for-analysts-and-data-scientists
Getting Started with Git and GitHub for Data Science Professionals,20 Lessons,Free,https://courses.analyticsvidhya.com/courses/getting-started-with-git-and-github-for-data-science-professionals
Machine Learning Starter Program,N/A,Free,https://courses.analyticsvidhya.com/bundles/machine-learning-starter-program
"Data Science Hacks, Tips and Tricks",37 Lessons,Free,https://courses.analyticsvidhya.com/courses/data-science-hacks-tips-and-tricks
Introduction to Business Analytics,33 Lessons,Free,https://courses.analyticsvidhya.com/courses/introduction-to-analytics
Introduction to PyTorch for Deep Learning,28 Lessons,Free,https://courses.analyticsvidhya.com/courses/introduction-to-pytorch-for-deeplearning
Introductory Data Science for Business Managers,N/A,$230.00,https://courses.analyticsvidhya.com/bundles/introductory-data-science-for-business-managers
Introduction to Natural Language Processing,21 Lessons,Free,https://courses.analyticsvidhya.com/courses/Intro-to-NLP
Getting started with Decision Trees,20 Lessons,Free,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees
Introduction to Python,69 Lessons,Free,https://courses.analyticsvidhya.com/courses/introduction-to-data-science
Loan Prediction Practice Problem (Using Python),16 Lessons,Free,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python
Big Mart Sales Prediction Using R,19 Lessons,Free,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r
Twitter Sentiment Analysis,18 Lessons,Free,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis
Pandas for Data Analysis in Python,27 Lessons,Free,https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python
Support Vector Machine (SVM) in Python and R,13 Lessons,Free,https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r
Evaluation Metrics for Machine Learning Models,25 Lessons,Free,https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models
Fundamentals of Regression Analysis,24 Lessons,Free,https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis
